OBJECTID,id,Source,Received_Date,Total_Allocated,Vaccinated,Re_Allocated,Date_Updated,Date_str,Today
1,1,NRG,2020/12/23 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,12/23/2020,6/22/2021
2,2,NRG,2020/12/24 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,12/24/2020,6/22/2021
3,3,NRG,2020/12/25 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,12/25/2020,6/22/2021
4,4,NRG,2020/12/26 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,12/26/2020,6/22/2021
5,5,NRG,2020/12/27 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,12/27/2020,6/22/2021
6,6,NRG,2020/12/28 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,12/28/2020,6/22/2021
7,7,NRG,2020/12/29 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,12/29/2020,6/22/2021
8,8,NRG,2020/12/30 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,12/30/2020,6/22/2021
9,9,NRG,2020/12/31 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,12/31/2020,6/22/2021
10,10,NRG,2021/01/01 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/1/2021,6/22/2021
11,11,NRG,2021/01/02 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/2/2021,6/22/2021
12,12,NRG,2021/01/03 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/3/2021,6/22/2021
13,13,NRG,2021/01/04 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/4/2021,6/22/2021
14,14,NRG,2021/01/05 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/5/2021,6/22/2021
15,15,NRG,2021/01/06 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/6/2021,6/22/2021
16,16,NRG,2021/01/07 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/7/2021,6/22/2021
17,17,NRG,2021/01/08 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/8/2021,6/22/2021
18,18,NRG,2021/01/09 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/9/2021,6/22/2021
19,19,NRG,2021/01/10 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/10/2021,6/22/2021
20,20,NRG,2021/01/11 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/11/2021,6/22/2021
21,21,NRG,2021/01/12 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/12/2021,6/22/2021
22,22,NRG,2021/01/13 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/13/2021,6/22/2021
23,23,NRG,2021/01/14 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/14/2021,6/22/2021
24,24,NRG,2021/01/15 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/15/2021,6/22/2021
25,25,NRG,2021/01/16 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/16/2021,6/22/2021
26,26,NRG,2021/01/17 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/17/2021,6/22/2021
27,27,NRG,2021/01/18 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/18/2021,6/22/2021
28,28,NRG,2021/01/19 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/19/2021,6/22/2021
29,29,NRG,2021/01/20 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/20/2021,6/22/2021
30,30,NRG,2021/01/21 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/21/2021,6/22/2021
31,31,NRG,2021/01/22 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/22/2021,6/22/2021
32,32,NRG,2021/01/23 05:00:00+00,0,0,0,2021/06/22 05:00:00+00,1/23/2021,6/22/2021
