Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,2nd Dose - Daily,2nd Dose - Cumulative,Total Doses - Daily - Chicago Resident,Total Doses - Cumulative - Chicago Resident,Total Doses - Daily - Non-Chicago Resident,Total Doses - Cumulative - Non-Chicago Resident,Total Doses - Daily - Unknown Residency,Total Doses - Cumulative - Unknown Residency,1st Dose - Daily - Chicago Resident,1st Dose - Cumulative  - Chicago Resident,1st Dose - Daily - Non-Chicago Resident,1st Dose - Cumulative  - Non-Chicago Resident,1st Dose - Daily - Unknown Residency,1st Dose - Cumulative - Unknown Residency,2nd Dose - Daily - Chicago Resident,2nd Dose - Cumulative  - Chicago Resident,2nd Dose - Daily - Non-Chicago Resident,2nd Dose - Cumulative  - Non-Chicago Resident,2nd Dose - Daily - Unknown Residency,2nd Dose - Cumulative- Unknown Residency
12/15/2020,11,11,11,11,0,0,8,8,3,3,0,0,8,8,3,3,0,0,0,0,0,0,0,0
12/16/2020,118,129,118,129,0,0,71,79,46,49,1,1,71,79,46,49,1,1,0,0,0,0,0,0
12/17/2020,1489,1618,1489,1618,0,0,950,1029,536,585,3,4,950,1029,536,585,3,4,0,0,0,0,0,0
12/18/2020,5585,7203,5585,7203,0,0,3567,4596,1921,2506,97,101,3567,4596,1921,2506,97,101,0,0,0,0,0,0
12/19/2020,2861,10064,2861,10064,0,0,1764,6360,1008,3514,89,190,1764,6360,1008,3514,89,190,0,0,0,0,0,0
12/20/2020,765,10829,765,10829,0,0,364,6724,399,3913,2,192,364,6724,399,3913,2,192,0,0,0,0,0,0
12/21/2020,4596,15425,4596,15425,0,0,3000,9724,1563,5476,33,225,3000,9724,1563,5476,33,225,0,0,0,0,0,0
12/22/2020,4908,20333,4908,20333,0,0,3114,12838,1775,7251,19,244,3114,12838,1775,7251,19,244,0,0,0,0,0,0
12/23/2020,4161,24494,4161,24494,0,0,2439,15277,1692,8943,30,274,2439,15277,1692,8943,30,274,0,0,0,0,0,0
12/24/2020,1370,25864,1370,25864,0,0,790,16067,564,9507,16,290,790,16067,564,9507,16,290,0,0,0,0,0,0
12/25/2020,1,25865,1,25865,0,0,1,16068,0,9507,0,290,1,16068,0,9507,0,290,0,0,0,0,0,0
12/26/2020,597,26462,597,26462,0,0,392,16460,200,9707,5,295,392,16460,200,9707,5,295,0,0,0,0,0,0
12/27/2020,4,26466,4,26466,0,0,2,16462,2,9709,0,295,2,16462,2,9709,0,295,0,0,0,0,0,0
12/28/2020,3472,29938,3472,29938,0,0,2191,18653,1272,10981,9,304,2191,18653,1272,10981,9,304,0,0,0,0,0,0
12/29/2020,5061,34999,5061,34999,0,0,3363,22016,1689,12670,9,313,3363,22016,1689,12670,9,313,0,0,0,0,0,0
12/30/2020,6497,41496,6497,41496,0,0,4140,26156,2319,14989,38,351,4140,26156,2319,14989,38,351,0,0,0,0,0,0
12/31/2020,2508,44004,2508,44004,0,0,1437,27593,1070,16059,1,352,1437,27593,1070,16059,1,352,0,0,0,0,0,0
1/1/2021,48,44052,48,44052,0,0,32,27625,16,16075,0,352,32,27625,16,16075,0,352,0,0,0,0,0,0
1/2/2021,1187,45239,1187,45239,0,0,852,28477,335,16410,0,352,852,28477,335,16410,0,352,0,0,0,0,0,0
1/3/2021,1258,46497,1218,46457,40,40,857,29334,399,16809,2,354,832,29309,384,16794,2,354,25,25,15,15,0,0
1/4/2021,4133,50630,3805,50262,328,368,2629,31963,1499,18308,5,359,2412,31721,1388,18182,5,359,217,242,111,126,0,0
1/5/2021,4985,55615,4535,54797,450,818,3347,35310,1622,19930,16,375,3059,34780,1461,19643,15,374,288,530,161,287,1,1
1/6/2021,4581,60196,3696,58493,885,1703,2858,38168,1691,21621,32,407,2352,37132,1327,20970,17,391,506,1036,364,651,15,16
1/7/2021,6133,66329,3558,62051,2575,4278,4020,42188,2011,23632,102,509,2382,39514,1155,22125,21,412,1638,2674,856,1507,81,97
1/8/2021,9774,76103,4684,66735,5090,9368,6517,48705,3129,26761,128,637,3213,42727,1421,23546,50,462,3304,5978,1708,3215,78,175
1/9/2021,3797,79900,1689,68424,2108,11476,2504,51209,1276,28037,17,654,1128,43855,556,24102,5,467,1376,7354,720,3935,12,187
1/10/2021,1539,81439,878,69302,661,12137,1114,52323,424,28461,1,655,699,44554,178,24280,1,468,415,7769,246,4181,0,187
1/11/2021,5996,87435,1996,71298,4000,16137,4115,56438,1862,30323,19,674,1438,45992,557,24837,1,469,2677,10446,1305,5486,18,205
1/12/2021,8092,95527,3863,75161,4229,20366,5243,61681,2813,33136,36,710,2635,48627,1219,26056,9,478,2608,13054,1594,7080,27,232
1/13/2021,7915,103442,4448,79609,3467,23833,5112,66793,2750,35886,53,763,3076,51703,1343,27399,29,507,2036,15090,1407,8487,24,256
1/14/2021,5077,108519,3884,83493,1193,25026,3303,70096,1738,37624,36,799,2621,54324,1237,28636,26,533,682,15772,501,8988,10,266
1/15/2021,4986,113505,4267,87760,719,25745,3223,73319,1738,39362,25,824,2747,57071,1499,30135,21,554,476,16248,239,9227,4,270
1/16/2021,3449,116954,2885,90645,564,26309,2399,75718,1047,40409,3,827,1994,59065,889,31024,2,556,405,16653,158,9385,1,271
1/17/2021,1272,118226,628,91273,644,26953,891,76609,380,40789,1,828,464,59529,163,31187,1,557,427,17080,217,9602,0,271
1/18/2021,5173,123399,2829,94102,2344,29297,3385,79994,1775,42564,13,841,1914,61443,908,32095,7,564,1471,18551,867,10469,6,277
1/19/2021,6919,130318,3551,97653,3368,32665,4695,84689,2210,44774,14,855,2656,64099,885,32980,10,574,2039,20590,1325,11794,4,281
1/20/2021,10058,140376,5893,103546,4165,36830,6593,91282,3439,48213,26,881,4114,68213,1765,34745,14,588,2479,23069,1674,13468,12,293
1/21/2021,11928,152304,9188,112734,2740,39570,8723,100005,3185,51398,20,901,7107,75320,2064,36809,17,605,1616,24685,1121,14589,3,296
1/22/2021,11068,163372,9698,122432,1370,40940,8052,108057,2994,54392,22,923,7250,82570,2429,39238,19,624,802,25487,565,15154,3,299
1/23/2021,4777,168149,4229,126661,548,41488,3561,111618,1205,55597,11,934,3216,85786,1002,40240,11,635,345,25832,203,15357,0,299
1/24/2021,2057,170206,1915,128576,142,41630,1138,112756,915,56512,4,938,1064,86850,847,41087,4,639,74,25906,68,15425,0,299
1/25/2021,9901,180107,6712,135288,3189,44819,6325,119081,3546,60058,30,968,4429,91279,2256,43343,27,666,1896,27802,1290,16715,3,302
1/26/2021,11959,192066,7995,143283,3964,48783,7987,127068,3928,63986,44,1012,5252,96531,2714,46057,29,695,2735,30537,1214,17929,15,317
1/27/2021,14343,206409,10792,154075,3551,52334,9339,136407,4930,68916,74,1086,7116,103647,3640,49697,36,731,2223,32760,1290,19219,38,355
1/28/2021,16363,222772,13587,167662,2776,55110,10168,146575,6136,75052,59,1145,8481,112128,5060,54757,46,777,1687,34447,1076,20295,13,368
1/29/2021,16641,239413,14788,182450,1853,56963,10335,156910,6249,81301,57,1202,9256,121384,5480,60237,52,829,1079,35526,769,21064,5,373
1/30/2021,9545,248958,8023,190473,1522,58485,5352,162262,4185,85486,8,1210,4360,125744,3656,63893,7,836,992,36518,529,21593,1,374
1/31/2021,2897,251855,2555,193028,342,58827,1937,164199,956,86442,4,1214,1685,127429,866,64759,4,840,252,36770,90,21683,0,374
2/1/2021,11914,263769,10191,203219,1723,60550,6562,170761,5323,91765,29,1243,5335,132764,4828,69587,28,868,1227,37997,495,22178,1,375
2/2/2021,16227,279996,12282,215501,3945,64495,9601,180362,6564,98329,62,1305,6947,139711,5286,74873,49,917,2654,40651,1278,23456,13,388
2/3/2021,17671,297667,14109,229610,3562,68057,10558,190920,7048,105377,65,1370,8100,147811,5964,80837,45,962,2458,43109,1084,24540,20,408
2/4/2021,21218,318885,17575,247185,3643,71700,13015,203935,8122,113499,81,1451,10512,158323,7001,87838,62,1024,2503,45612,1121,25661,19,427
2/5/2021,22442,341327,17421,264606,5021,76721,14107,218042,8257,121756,78,1529,10458,168781,6903,94741,60,1084,3649,49261,1354,27015,18,445
2/6/2021,13129,354456,10685,275291,2444,79165,7317,225359,5777,127533,35,1564,5626,174407,5027,99768,32,1116,1691,50952,750,27765,3,448
2/7/2021,3516,357972,2840,278131,676,79841,2251,227610,1259,128792,6,1570,1690,176097,1144,100912,6,1122,561,51513,115,27880,0,448
2/8/2021,15069,373041,12269,290400,2800,82641,8507,236117,6523,135315,39,1609,6450,182547,5780,106692,39,1161,2057,53570,743,28623,0,448
2/9/2021,17340,390381,14130,304530,3210,85851,9400,245517,7875,143190,65,1674,6983,189530,7092,113784,55,1216,2417,55987,783,29406,10,458
2/10/2021,22122,412503,17525,322055,4597,90448,12898,258415,9155,152345,69,1743,9394,198924,8068,121852,63,1279,3504,59491,1087,30493,6,464
2/11/2021,24470,436973,16764,338819,7706,98154,14986,273401,9425,161770,59,1802,8871,207795,7842,129694,51,1330,6115,65606,1583,32076,8,472
2/12/2021,22045,459018,14923,353742,7122,105276,13802,287203,8195,169965,48,1850,8241,216036,6643,136337,39,1369,5561,71167,1552,33628,9,481
